type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierStepCount,iPhone,17.1.1,"iPhone16,1","<<HKDevice: 0x303c13110>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.1.1>",2023-11-25 02:21:16 +0000,2023-11-25 02:31:06 +0000,count,153.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 02:23:15 +0000,2023-11-25 02:28:07 +0000,count,120.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 02:28:08 +0000,2023-11-25 02:33:00 +0000,count,46.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 02:33:01 +0000,2023-11-25 02:37:53 +0000,count,105.0
HKQuantityTypeIdentifierStepCount,iPhone,17.1.1,"iPhone16,1","<<HKDevice: 0x303c13110>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.1.1>",2023-11-25 02:33:55 +0000,2023-11-25 02:38:43 +0000,count,170.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 02:37:54 +0000,2023-11-25 02:42:46 +0000,count,36.0
HKQuantityTypeIdentifierStepCount,iPhone,17.1.1,"iPhone16,1","<<HKDevice: 0x303c13110>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.1.1>",2023-11-25 02:55:01 +0000,2023-11-25 03:00:20 +0000,count,150.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 02:57:26 +0000,2023-11-25 03:02:18 +0000,count,91.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 03:02:19 +0000,2023-11-25 03:07:11 +0000,count,36.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 03:07:12 +0000,2023-11-25 03:12:04 +0000,count,81.0
HKQuantityTypeIdentifierStepCount,iPhone,17.1.1,"iPhone16,1","<<HKDevice: 0x303c13110>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.1.1>",2023-11-25 03:08:49 +0000,2023-11-25 03:16:51 +0000,count,222.0
HKQuantityTypeIdentifierStepCount,iPhone,17.1.1,"iPhone16,1","<<HKDevice: 0x303c13110>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.1.1>",2023-11-25 03:20:02 +0000,2023-11-25 03:27:39 +0000,count,209.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 03:21:51 +0000,2023-11-25 03:26:43 +0000,count,112.0
